Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 04547067,Kepler,2455000.054553,2026-06-08 04:16:05.659,Primary,40.3,0.407575,286.9596,39.64115,14.67
2026-06-07,ETAMU,KIC 09898401,Kepler,2454964.733972,2026-06-08 04:16:36.530,Secondary,36.3,0.1527742,294.84483,46.70418,12.07
2026-06-07,ETAMU,KIC 05984000,Kepler,2454964.653132,2026-06-08 04:16:44.021,Primary,32.8,0.3230583,297.88446,41.24944,14.43
2026-06-07,ETAMU,KIC 11442348,Kepler,2454964.605336,2026-06-08 04:17:33.995,Secondary,44.0,0.3128408,284.10048,49.36227,14.55
2026-06-07,ETAMU,KIC 11572643,Kepler,2454953.74027,2026-06-08 04:17:42.056,Primary,35.2,0.3454039,297.83577,49.5458,12.22
2026-06-07,ETAMU,KIC 08222945,Kepler,2454964.704201,2026-06-08 04:18:11.138,Primary,41.1,0.4511233,287.66576,44.11055,14.78
2026-06-07,ETAMU,KIC 06050116,Kepler,2454964.708006,2026-06-08 04:18:35.900,Primary,35.9,0.2399081,294.13794,41.33962,14.26
2026-06-07,ETAMU,KIC 10454725,Kepler,2454964.748311,2026-06-08 04:18:46.519,Primary,43.8,0.8317678,284.46525,47.60262,14.24
2026-06-07,ETAMU,KIC 05620981,Kepler,2454964.759352,2026-06-08 04:18:53.651,Secondary,37.3,0.3335163,292.12721,40.8834,14.87
2026-06-07,ETAMU,KIC 08758161,Kepler,2454953.832607,2026-06-08 04:19:20.249,Primary,37.3,0.9982176,293.6205,44.96732,12.46
2026-06-07,ETAMU,KIC 11341950,Kepler,2454964.806734,2026-06-08 04:19:47.811,Primary,42.2,0.2883712,287.27446,49.19956,14.92
2026-06-07,ETAMU,KIC 08848104,Kepler,2454964.625931,2026-06-08 04:20:08.374,Primary,32.4,0.8248518,300.99489,45.07885,12.37
2026-06-07,ETAMU,KIC 10809970,Kepler,2454953.657455,2026-06-08 04:20:18.025,Secondary,36.1,0.4470546,296.57732,48.12694,13.53
2026-06-07,ETAMU,KIC 08019043,Kepler,2454954.018799,2026-06-08 04:20:19.865,Secondary,41.1,1.9855864,288.08748,43.87613,11.43
2026-06-07,ETAMU,KIC 09649493,Kepler,2454953.79705,2026-06-08 04:20:45.133,Secondary,38.9,0.3715687,291.95963,46.30908,12.85
2026-06-07,ETAMU,KIC 08053107,Kepler,2454964.719712,2026-06-08 04:21:00.210,Secondary,33.6,0.3888709,298.94707,43.88314,13.66
2026-06-07,ETAMU,KIC 07199353,Kepler,2454964.814394,2026-06-08 04:21:03.424,Secondary,38.6,0.2819867,291.48486,42.73776,14.49
2026-06-07,ETAMU,KIC 02159783,Kepler,2454964.975549,2026-06-08 04:21:20.855,Secondary,37.4,0.3738842,291.35935,37.55331,14.97
2026-06-07,ETAMU,KIC 09479460,Kepler,2455000.844058,2026-06-08 04:21:22.108,Primary,35.5,2.0738834,297.11074,46.08963,14.7
2026-06-07,ETAMU,KIC 09181877,Kepler,2454953.793919,2026-06-08 04:21:27.033,Primary,33.0,0.3210098,300.53971,45.5072,11.7
2026-06-07,ETAMU,KIC 08444552,Kepler,2454964.589475,2026-06-08 04:21:27.931,Secondary,35.5,1.1780996,296.60672,44.47292,13.64
2026-06-07,ETAMU,KIC 09237755,Kepler,2454964.777807,2026-06-08 04:21:56.750,Secondary,34.6,0.3316703,298.38087,45.62769,14.22
2026-06-07,ETAMU,KIC 09832227,Kepler,2454953.951368,2026-06-08 04:22:00.526,Secondary,38.9,0.4579485,292.31646,46.62218,12.26
2026-06-07,ETAMU,KIC 07501230,Kepler,2454954.447274,2026-06-08 04:22:01.597,Secondary,46.1,0.8927503,281.36231,43.15304,12.45
2026-06-07,ETAMU,KIC 05703230,Kepler,2454954.358193,2026-06-08 04:22:32.144,Primary,38.7,0.7314739,291.07141,40.91698,11.8
2026-06-07,ETAMU,KIC 12458133,Kepler,2454964.89951,2026-06-08 04:23:50.664,Primary,41.2,0.3325218,290.17123,51.37766,14.07
2026-06-07,ETAMU,KIC 07375612,Kepler,2454953.638704,2026-06-08 04:23:50.837,Primary,36.3,0.1600729,295.46696,42.92787,12.04
2026-06-07,ETAMU,KIC 03833859,Kepler,2454954.084827,2026-06-08 04:24:03.175,Primary,42.5,0.4317433,285.87388,38.90389,11.99
2026-06-07,ETAMU,KIC 08956957,Kepler,2454964.745506,2026-06-08 04:25:15.301,Primary,38.5,0.3243816,293.33364,45.28291,13.98
2026-06-07,ETAMU,KIC 02302092,Kepler,2454964.690581,2026-06-08 04:26:25.458,Primary,38.5,0.2946734,291.26227,37.69791,14.44
2026-06-07,ETAMU,KIC 08563964,Kepler,2454953.843362,2026-06-08 04:26:45.062,Primary,38.6,0.3384363,293.40611,44.62215,12.94
2026-06-07,ETAMU,KIC 07258889,Kepler,2454965.003774,2026-06-08 04:27:26.016,Secondary,46.1,0.9039046,282.77623,42.8111,13.67
2026-06-07,ETAMU,KIC 06766325,Kepler,2454964.712111,2026-06-08 04:27:49.867,Secondary,42.1,0.4399657,288.19663,42.27515,13.77
2026-06-07,ETAMU,KIC 07173910,Kepler,2454964.706068,2026-06-08 04:27:55.167,Secondary,47.3,0.4022438,281.20312,42.74607,14.36
2026-06-07,ETAMU,KIC 10586874,Kepler,2454964.747881,2026-06-08 04:27:56.740,Secondary,44.5,0.5354866,285.7777,47.81547,14.1
